#Om      s8       SN1      SN2      BHFF
0.334008 0.783382 1.055463 1.482073 0.254183
0.322753 0.835138 0.625015 0.976976 0.719745
0.278605 0.818010 2.336445 1.315123 1.198571
0.275218 0.840589 0.405598 0.615226 0.387822
0.319420 0.816791 1.803092 1.828306 2.638105
0.338175 0.873450 0.755055 0.824999 1.868778
0.303964 0.782176 3.864089 1.122685 0.548962
0.305921 0.887083 1.141150 1.203912 0.920616
0.350440 0.795809 0.320512 0.894396 1.105708
0.326695 0.854168 2.147343 1.614533 3.132515
0.292166 0.830371 0.679425 0.549162 0.325838
0.286959 0.861332 2.571307 0.953839 2.195831
0.332680 0.790287 0.581544 1.401907 0.467193
0.346425 0.841944 1.377600 0.537828 0.659524
0.310714 0.811428 0.270648 1.447649 1.551274
0.297979 0.855313 0.913820 1.867002 1.303349
0.343382 0.824797 3.271227 0.686096 0.783122
0.314627 0.874754 0.484283 1.052626 0.276425
0.279234 0.803709 1.538896 0.708537 3.682454
0.279922 0.867043 0.438546 1.387402 1.738021
0.314095 0.789690 1.561395 0.943773 0.511349
0.342840 0.845942 0.929694 1.463063 0.362153
0.298677 0.809065 2.938318 0.543438 2.460691
0.311246 0.859363 1.234885 0.678850 2.949534
0.345736 0.822487 0.277782 1.847680 0.306353
0.331981 0.880413 2.646233 0.715933 0.868019
0.287502 0.803059 0.517081 1.063836 1.043810
0.291634 0.834429 2.192226 1.809087 0.615174
0.327384 0.817836 0.612399 0.608835 1.448621
0.351139 0.869057 1.031362 1.134444 2.045413
0.305379 0.784935 0.324563 0.833747 0.434507
0.303275 0.882637 0.778706 0.885102 0.260955
0.338707 0.798515 3.443053 1.191248 3.472087
0.319962 0.848061 0.362384 0.554987 1.225414
0.274520 0.831469 1.844528 1.631456 0.737389
0.278044 0.852762 0.665824 0.765862 2.706321
0.323471 0.829286 2.015137 1.042032 0.398138
0.334716 0.887324 0.299965 0.664626 0.562445
0.299299 0.796372 1.115281 1.974780 1.910545
0.306875 0.873744 3.786092 1.498550 1.129325
0.352610 0.782792 0.708449 0.509796 0.938409
0.326355 0.839129 1.687220 1.300360 0.331476
0.290630 0.815654 0.396337 0.966215 3.188473
0.286010 0.875844 1.444150 0.593641 0.477635
0.330505 0.805110 0.474588 1.598153 2.249761
0.346760 0.854755 3.197071 0.866338 1.592539
0.312255 0.824550 0.855240 1.273516 0.676579
0.295149 0.841334 0.253942 1.162059 0.797113
0.339336 0.811129 1.349794 0.782068 1.325900
0.318091 0.862475 0.568265 1.696020 3.753623
0.283894 0.791740 2.406068 0.623154 0.282329
0.282622 0.845377 1.077880 0.981043 1.065375
0.316863 0.807996 0.339203 1.334693 0.885409
0.340618 0.864761 2.284955 0.517270 0.313550
0.296367 0.786857 0.638304 1.537076 3.016592
0.313479 0.878183 0.379119 1.920078 2.512328
0.348036 0.800279 1.929719 0.653253 0.369541
0.329291 0.858745 0.812449 1.012482 0.523550
0.284724 0.821364 3.592255 0.752246 1.778099
0.289324 0.870123 0.972691 0.639608 0.754145
0.325161 0.785503 3.074216 1.722048 1.254189
0.353906 0.837265 0.457596 0.802174 3.541610
0.308078 0.820115 1.629227 1.179095 0.266343
0.300498 0.850845 2.765885 1.251723 0.444522
0.336017 0.833695 0.540462 0.842340 2.094196
0.322263 0.883756 1.287204 1.569741 1.478159
0.276753 0.799136 0.289551 0.576806 0.628077
0.275744 0.884989 3.344676 1.083092 3.264517
0.321239 0.793697 0.894723 0.736829 0.339116
0.337494 0.852038 1.506771 1.879849 0.958090
0.301989 0.828269 0.495165 0.698190 1.152352
0.304107 0.838458 0.593907 0.529817 1.955408
0.349910 0.814690 2.514630 1.441924 0.575226
0.328665 0.871356 0.264678 0.919495 0.406359
0.292852 0.780064 1.406852 1.366432 2.760512
0.288700 0.857433 0.313521 1.679072 0.288089
0.333282 0.826882 1.165679 0.565032 3.832389
0.344528 0.876858 0.694045 1.225186 1.356475
0.309955 0.805837 2.100546 0.900512 0.816132
0.297371 0.863436 1.765301 0.821701 0.690134
0.341646 0.792415 0.414677 1.106009 1.625442
0.315391 0.844064 3.950509 0.599632 2.300909
0.281126 0.813514 0.739212 1.762551 0.488856
0.281315 0.882078 1.714802 0.702734 2.439423
0.315824 0.797452 0.398477 1.915111 0.366428
0.342069 0.849154 3.806454 0.726157 0.518789
0.297569 0.831998 0.720015 1.077663 1.727673
0.309835 0.835574 0.301629 1.375201 1.027488
0.344026 0.818418 1.133678 0.936817 0.874388
0.332772 0.868446 0.676821 1.421168 0.309437
0.288590 0.783819 2.026354 0.527119 2.911280
0.293363 0.860423 0.559231 0.916163 0.431917
0.328776 0.823049 2.393598 1.234830 2.075139
0.350031 0.879874 0.252621 0.562961 1.465701
0.304608 0.801976 1.328305 1.652515 0.609855
0.301566 0.866452 3.178840 1.793325 0.727815
0.337296 0.788555 0.841203 0.604298 1.237746
0.321050 0.847054 1.420477 1.101869 3.497541
0.275311 0.809680 0.471891 0.808778 0.256870
0.276944 0.842380 2.603959 1.509704 1.888420
0.322698 0.811836 0.514361 0.514331 0.567298
0.336443 0.861739 1.228363 1.340648 0.400487
0.300698 0.790724 0.273338 0.994716 2.667751
0.307956 0.875160 0.924621 0.738909 3.165499
0.353403 0.804145 2.890805 1.006640 0.336715
0.324648 0.855749 0.431463 0.656115 0.950663
0.289211 0.825205 1.552907 1.947013 1.118155
0.285237 0.873041 0.368213 1.170810 0.666939
0.329404 0.781742 1.854010 0.788956 1.601961
0.348159 0.840156 0.782693 1.748414 2.269209
0.313982 0.816380 3.498363 0.641592 0.472106
0.295942 0.853736 1.037173 0.572703 0.279541
0.340417 0.829960 0.329946 1.543999 3.802665
0.316672 0.886673 2.228630 0.855313 1.346864
0.282187 0.795375 0.615862 1.255506 0.791380
0.283390 0.849746 0.263241 1.987628 2.970580
0.317968 0.833146 1.384142 0.677095 0.315934
0.339223 0.884334 0.584307 1.026943 0.894561
0.294636 0.800205 2.500924 0.762021 1.051971
0.312691 0.870755 1.482659 0.972414 1.762304
0.346951 0.786625 0.492547 1.324860 0.529491
0.330705 0.836113 3.327060 0.502459 0.374747
0.286436 0.819513 0.880424 1.490917 2.496758
0.290429 0.878728 3.972837 1.295653 0.262993
0.325930 0.801381 0.751485 0.873155 3.578270
0.352175 0.857666 1.794571 1.592292 1.263746
0.306684 0.820796 0.417012 0.584253 0.742647
0.299412 0.844244 0.705198 0.634037 0.624195
0.335229 0.807374 2.111307 1.709212 1.498992
0.323975 0.865360 0.315134 0.779138 2.117966
0.278167 0.788013 1.184434 1.143785 0.440579
0.274020 0.864153 0.816975 0.533761 1.143552
0.319842 0.793425 3.651601 1.454747 0.973018
0.338597 0.843024 0.385375 0.947981 0.343469
0.302764 0.812826 1.940426 1.406742 3.230831
0.305812 0.856446 2.322251 1.044978 2.729326
0.351327 0.826248 0.641735 0.711800 0.410035
0.327582 0.877522 1.083696 1.855770 0.578859
0.292057 0.806794 0.344747 0.688374 1.928087
0.287303 0.837451 1.279882 0.827887 0.807705
0.331558 0.813969 0.284803 1.115754 1.373862
0.345303 0.872053 2.720469 0.618158 3.892042
0.311058 0.781095 0.537377 1.814695 0.285887
0.298788 0.885633 0.450314 1.619844 0.482018
0.343351 0.794674 1.620760 0.545887 2.315430
0.314596 0.851084 0.967656 1.209598 1.640132
0.280043 0.827602 3.025360 0.887775 0.682326
0.279345 0.836828 0.860465 1.127571 0.323789
0.315138 0.819707 3.113780 0.836552 3.050502
0.343883 0.869717 0.462222 1.795867 1.076577
0.298100 0.785066 1.452977 0.611665 0.914979
0.310516 0.883349 2.443816 0.551602 0.540639
0.346002 0.798699 0.546758 1.637013 1.798111
0.332247 0.850408 1.298704 0.878448 2.538776
0.286770 0.833288 0.257927 1.197038 0.381878
0.292599 0.865171 1.108506 1.469910 3.659949
0.326884 0.787291 0.307990 0.539438 0.269145
0.350638 0.845809 2.069041 1.391907 0.762627
0.306344 0.808406 0.661781 0.938185 1.295164
0.303462 0.859178 0.390213 0.719375 1.527514
0.338055 0.821775 1.753593 1.055872 0.634699
0.319310 0.878593 0.736316 0.681255 0.449532
0.274708 0.800713 3.727608 1.836195 2.162564
0.278718 0.876451 0.336875 0.863507 0.989437
0.323267 0.805399 1.014054 1.281169 1.165259
0.334512 0.856997 0.602123 0.590844 3.298987
0.299973 0.826475 2.275376 1.610055 0.350433
0.307392 0.843628 1.896439 1.690119 0.419642
0.351623 0.813106 0.360670 0.627032 2.791512
0.325368 0.863029 3.426782 1.156535 1.976113
0.291147 0.791978 0.800619 0.787926 0.594406
0.285727 0.852471 2.830940 0.669498 1.401723
0.331258 0.828680 0.945560 1.965747 0.824745
0.347512 0.885399 1.588045 0.770489 0.291314
0.311973 0.794131 0.422518 1.038572 3.957714
0.294084 0.871766 0.502928 1.310279 2.377617
0.339931 0.780498 2.658799 0.961510 0.494024
0.318686 0.838891 0.279101 1.507796 0.697873
0.282829 0.815100 1.201083 0.508039 1.678565
0.281655 0.868621 2.159661 0.797315 0.358145
0.317360 0.784527 0.690764 1.183061 2.382760
0.341115 0.834022 1.160170 0.634933 1.681909
0.295400 0.817399 0.322343 1.730054 0.506011
0.313293 0.847655 0.767252 1.560166 0.858388
0.348691 0.831031 3.884214 0.578771 1.010782
0.329947 0.882201 0.407719 1.242312 2.854392
0.284538 0.798107 1.832259 0.846434 0.303146
0.289899 0.846352 0.481613 0.519691 2.024029
0.324115 0.809499 1.513926 1.525763 0.420476
0.352861 0.867477 0.898974 0.984229 0.595688
0.308654 0.790101 3.253123 1.326791 1.432567
0.301230 0.880846 1.355440 1.017350 1.212580
0.335755 0.803470 0.269194 0.746615 0.713592
0.322000 0.859773 2.557549 1.926883 0.252694
0.277485 0.822921 0.572202 0.649192 3.433545
0.276028 0.854349 1.654788 1.221182 0.556187
0.320489 0.824113 0.440277 0.905924 1.850109
0.336744 0.875408 2.957858 1.671161 2.618829
0.302273 0.804702 0.987954 0.569240 0.393991
0.305170 0.862039 0.291320 0.597546 0.327783
0.349313 0.791333 1.253669 1.773517 3.087653
0.328067 0.840927 0.526381 0.817795 1.092829
0.293915 0.810692 2.782789 1.114293 0.928623
0.288028 0.887757 0.628443 1.893628 1.575979
0.333490 0.796782 2.374843 0.694996 0.654709
0.344735 0.853172 0.352546 1.089635 0.462528
0.309283 0.829720 1.061231 0.734382 2.224765
0.296852 0.839539 3.570432 0.926509 3.714501
0.342630 0.816087 0.834184 1.359778 0.273209
0.316376 0.874177 1.981337 0.533085 0.771920
0.280607 0.783203 0.376817 1.436953 1.311138
0.280844 0.874403 0.687583 0.847968 2.899194
0.316296 0.783135 2.173096 1.246410 0.308211
0.342551 0.839841 0.323483 0.580997 0.873135
0.297089 0.816049 1.151714 1.564240 1.026169
0.309046 0.853210 3.912443 1.732813 1.730164
0.344814 0.829418 0.764510 0.636728 0.519440
0.333569 0.887825 1.820719 1.187364 0.367945
0.287791 0.796556 0.409567 0.799029 2.449154
0.293835 0.840991 1.525025 0.650260 0.256543
0.328305 0.810469 0.479921 1.932252 3.492569
0.349550 0.862080 3.232977 0.749357 1.232851
0.305090 0.791029 0.903142 1.019492 0.724800
0.302354 0.875712 0.267983 1.329134 0.612293
0.336506 0.804661 1.364016 0.987509 1.471784
0.320251 0.854571 0.574261 1.531569 2.077767
0.276109 0.824050 2.539069 0.521074 0.432545
0.277718 0.860128 0.443772 1.109910 1.122604
0.321924 0.822724 1.649941 0.815783 0.954630
0.335679 0.881230 0.982425 1.770119 0.337148
0.301463 0.803349 2.973310 0.595671 3.170034
0.308421 0.867598 1.247061 0.567262 2.664412
0.352936 0.789717 0.292944 1.667393 0.399909
0.324191 0.846548 2.790640 0.904614 0.565042
0.289667 0.809144 0.522186 1.217615 1.880641
0.284464 0.882400 2.362476 1.432025 0.792507
0.330179 0.797750 0.631986 0.531865 1.348584
0.348924 0.847771 1.064337 1.357865 3.818486
0.313219 0.830651 0.349774 0.923756 0.280650
0.295475 0.834402 0.840893 0.731457 0.470156
0.340883 0.817282 3.560351 1.086998 2.260162
0.317128 0.868978 0.374732 0.693640 1.599631
0.281730 0.784328 1.991814 1.887771 0.666098
0.282909 0.838801 3.097302 1.199210 2.499913
0.318449 0.815349 0.865243 0.881344 0.375293
0.339694 0.871752 1.457107 1.643303 0.531610
0.294164 0.780776 0.458549 0.553044 1.769612
0.311893 0.885121 0.551109 0.612642 1.047813
0.347749 0.794145 2.436710 1.800939 0.890854
0.331495 0.852223 0.256478 0.839593 0.315531
0.285648 0.828770 1.305461 1.129999 2.966361
0.290909 0.862777 0.310460 1.839209 0.442402
0.325448 0.792072 1.105353 0.683156 2.126422
0.351703 0.843352 0.658133 1.059753 1.501160
0.307154 0.813118 2.080026 0.720889 0.624976
0.300211 0.856985 1.744498 0.939839 0.741584
0.334432 0.826750 0.392422 1.396550 1.262121
0.323187 0.876357 3.738440 0.541492 3.563407
0.278956 0.805652 0.730511 1.473820 0.261951
0.274783 0.878420 1.021402 0.784824 1.925290
0.319077 0.801044 0.335664 1.153693 0.578127
0.337822 0.859036 2.261094 0.625832 0.408339
0.303538 0.822182 0.604864 1.684812 2.718454
0.306269 0.845403 0.359017 1.604455 3.244266
0.350871 0.808549 1.908277 0.589514 0.344832
0.327116 0.864840 0.803432 1.279320 0.974404
0.292524 0.787464 3.401734 0.860982 1.145010
0.286538 0.850080 0.941285 0.506298 0.679616
0.332322 0.833458 2.848792 1.504341 1.633371
0.346076 0.882938 0.424048 0.960155 2.312525
0.310283 0.798846 1.576603 1.306389 0.481323
0.298332 0.869570 2.678348 1.034438 0.286255
0.343808 0.785477 0.501173 0.768622 3.897624
0.315063 0.836658 1.193620 1.961906 1.379332
0.279577 0.820036 0.280390 0.667429 0.811073
0.280119 0.851099 1.395116 1.488788 0.385552
0.314365 0.827324 0.262472 0.500956 2.562719
0.343119 0.885723 2.486909 1.320288 1.810470
0.298864 0.794426 0.587364 0.970167 0.544273
0.310981 0.872302 0.489957 0.760519 0.908727
0.345535 0.781004 1.490904 1.023745 1.069421
0.331790 0.837729 0.882919 0.674384 3.021515
0.287227 0.813955 3.300505 1.982775 0.320761
0.291826 0.877797 0.747581 1.141569 2.177076
0.327658 0.806782 3.995184 0.776677 0.452616
0.351403 0.856699 0.418238 1.702454 0.640679
0.305581 0.826154 1.780436 0.632464 1.542196
0.302996 0.843119 2.128272 0.583396 1.283040
0.338521 0.812574 0.703212 1.587606 0.755373
0.319766 0.864165 1.177871 0.870103 0.267353
0.274250 0.793149 0.316803 1.292705 3.634897
0.278247 0.865503 3.634737 0.690888 0.588853
0.323739 0.787606 0.822068 1.859638 1.957274
0.334994 0.844417 1.947259 0.712956 2.772870
0.299493 0.807043 0.382571 1.047868 0.416779
0.306603 0.857997 0.646404 1.412065 0.352778
0.352411 0.820623 2.313932 0.950484 3.321700
0.326166 0.879135 0.342579 1.457287 1.176262
0.290348 0.801238 1.088597 0.535529 0.998925
0.286199 0.836524 0.286893 0.891170 1.667127
0.330787 0.819366 1.275377 1.212732 0.693219
0.347032 0.871083 0.534053 0.546864 0.489320
0.312454 0.786455 2.733062 1.625153 2.355432
0.294872 0.884504 1.613446 1.821260 3.995712
0.339142 0.799877 0.453170 0.619475 0.294068
0.317887 0.849893 3.036205 1.117509 0.830431
0.283627 0.832735 0.960676 0.830210 1.411114
0.282418 0.886371 0.401368 0.526365 0.301128
0.316595 0.795413 1.708622 1.416919 2.834844
0.340340 0.853510 0.715501 0.933586 1.001316
0.296173 0.830028 3.823751 1.372021 0.850226
0.313751 0.840088 1.128467 1.075535 0.510778
0.348236 0.816606 0.303515 0.723898 1.698079
0.329481 0.873002 2.033446 1.907447 2.398754
0.285005 0.782044 0.671882 0.701016 0.360602
0.289135 0.855708 2.382745 0.807212 3.400929
0.324879 0.825509 0.562765 1.098385 0.250329
0.353634 0.875096 1.333095 0.601907 0.708713
0.307880 0.804367 0.250804 1.788881 1.204524
0.300774 0.861517 0.847395 1.650093 1.442411
0.336212 0.790788 3.167719 0.561303 0.599694
0.322467 0.842075 0.468963 1.230511 0.424523
0.277020 0.811876 1.427022 0.914081 2.043115
0.275547 0.846669 0.511646 1.954127 0.935022
0.320970 0.809800 2.618385 0.657481 1.100154
0.337214 0.866097 0.274119 1.008272 3.117307
0.301802 0.788751 1.218585 0.740955 0.330881
0.304372 0.879677 2.913786 0.998483 0.390241
0.350112 0.802331 0.921940 1.344185 2.594389
0.328857 0.860302 1.544172 0.515228 1.837499
0.293127 0.823433 0.433712 1.514709 0.552479
0.288508 0.868329 1.868868 1.260304 1.323514
0.333008 0.784199 0.367168 0.857532 0.779324
0.344263 0.835375 3.479052 1.546767 0.275038
0.309753 0.818775 0.786854 0.574578 3.740062
0.297651 0.848797 0.328239 0.643911 2.209912
0.341833 0.832197 1.043029 1.752143 0.459371
0.315588 0.881698 0.617660 0.790200 0.648592
0.281396 0.797568 2.211029 1.174091 1.560958
0.280894 0.843760 0.340661 0.753829 0.537194
0.315466 0.813554 1.070842 1.016203 1.828729
0.341721 0.863214 0.635847 0.655075 2.581569
0.297139 0.792478 2.300927 1.923230 0.379509
0.310187 0.876794 1.916425 1.541165 0.318855
0.344453 0.806059 0.380613 0.519240 3.065367
0.333208 0.857392 3.616210 1.339145 1.082007
0.288932 0.827187 0.809067 0.982774 0.900886
0.292927 0.871318 3.052844 0.578314 1.518046
0.328432 0.780366 0.976460 1.575773 0.645393
0.349678 0.838390 1.639918 0.845117 0.457184
0.304182 0.814916 0.455643 1.253994 2.148796
0.301913 0.851812 0.542727 1.181633 3.603557
0.337727 0.828337 2.747533 0.805090 0.270504
0.321472 0.884687 0.288418 1.726912 0.766347
0.275668 0.793736 1.296119 0.640629 1.275424
0.276515 0.883376 0.887989 1.362375 0.412654
0.322343 0.799252 3.355604 0.918199 2.809154
0.336098 0.850487 0.498126 1.438621 1.988265
0.300260 0.833894 1.499433 0.528001 0.584607
0.308316 0.837066 2.527070 0.696032 0.984714
0.353826 0.820472 0.590421 1.876176 1.183197
0.325081 0.870007 1.402404 0.735043 3.350338
0.289561 0.785883 0.266716 1.078781 0.348702
0.284803 0.858625 1.171371 1.757016 2.338409
0.329054 0.821749 0.311661 0.598485 0.497064
0.347799 0.877987 2.093683 1.103291 0.702287
0.313558 0.800634 0.699316 0.818467 1.650606
0.296287 0.864406 0.411513 0.897880 1.394804
0.340855 0.787054 1.770881 1.223417 0.837578
0.317100 0.844992 0.743585 0.563760 0.295797
0.282542 0.808116 3.931020 1.673233 3.938844
0.283819 0.862487 1.569153 1.066077 0.844952
0.318323 0.791465 0.435980 0.718563 1.015450
0.339568 0.841428 2.928966 1.852828 2.867089
0.295074 0.810876 0.936834 0.679966 0.298452
0.312330 0.855008 0.275685 0.544885 0.356074
0.346527 0.824456 1.238894 1.468631 2.423538
0.330272 0.876120 0.520184 0.946918 1.710982
0.286085 0.805098 2.633401 1.389852 0.503000
0.290863 0.839407 0.607738 1.635717 1.193796
0.326280 0.815639 2.199202 0.557121 0.716770
0.352535 0.873993 0.326477 1.195177 0.253862
0.307108 0.782701 1.026252 0.886706 3.379783
0.299066 0.887414 3.459793 0.835540 2.011994
0.334791 0.796123 0.774070 1.138571 0.427742
0.323546 0.852776 1.838541 0.610556 0.605879
0.277811 0.829008 0.365144 1.811972 1.424290
0.274440 0.848208 2.001297 0.963344 0.326246
0.320200 0.831058 0.668460 1.298530 3.137042
0.338945 0.882807 1.122695 0.508630 1.110122
0.303195 0.798186 0.298710 1.493411 0.924426
0.305459 0.869385 0.711477 1.968672 0.546787
0.350901 0.784764 3.761290 0.663330 1.861014
0.327146 0.834839 0.394819 1.039511 2.634710
0.291714 0.817689 1.699049 0.762812 0.387267
0.287738 0.880819 0.476586 0.621199 3.697729
0.331901 0.802916 1.434599 1.692770 0.277531
0.345656 0.859694 0.851876 0.780144 0.784263
0.311484 0.822314 3.219146 1.157488 1.304997
0.298440 0.846114 1.340381 1.269796 1.549072
0.342920 0.808734 0.254921 0.865085 0.658683
0.314175 0.867186 2.421908 1.594550 0.465257
0.279685 0.789284 0.565852 0.591578 2.187152
0.279153 0.874659 2.806170 1.710730 1.034071
0.314863 0.803961 0.530810 0.627709 0.859753
0.343618 0.855301 1.267630 1.145457 0.304310
0.297898 0.825073 0.294568 0.771939 2.929437
0.310796 0.841668 0.998466 0.874148 2.477178
0.346188 0.811440 2.989305 1.283258 0.364649
0.332443 0.861079 0.446168 0.585358 0.516183
0.287040 0.790381 1.676916 1.577989 1.754708
0.292402 0.853920 0.372603 1.312082 0.732358
0.326614 0.830461 1.959161 0.973606 1.217229
0.350359 0.886805 0.827090 1.477642 3.438985
0.306157 0.795823 3.540044 0.503364 0.258517
0.303727 0.873436 1.047394 0.670391 0.438673
0.338256 0.782454 0.347954 1.989212 2.064726
0.319501 0.840499 2.350235 0.754921 1.458594
0.274983 0.817040 0.621939 1.028537 0.619290
0.278529 0.834968 1.810824 0.550960 3.219118
0.322985 0.818339 0.402953 1.617427 0.334599
0.334239 0.867892 3.849184 0.896716 0.944848
0.299774 0.783792 0.760339 1.208513 1.136902
0.307669 0.881261 0.318308 1.125831 1.897466
0.351817 0.797162 1.145630 0.826298 0.558700
0.325572 0.848389 0.683965 1.832205 0.394351
0.291414 0.831760 2.138378 0.617450 2.680985
0.285524 0.866531 0.577509 0.710498 0.284227
0.330990 0.789161 2.581237 1.054333 3.779425
0.347235 0.847081 0.272428 0.687524 1.338406
0.311779 0.810234 1.371703 1.873824 0.804781
0.294356 0.860713 3.284908 1.452448 0.670251
0.340130 0.823866 0.907764 0.538765 1.577408
0.318875 0.880111 1.532863 1.405606 2.234807
0.283111 0.802741 0.487641 0.957451 0.474371
0.281844 0.856262 0.790593 0.604833 1.790336
0.317642 0.825747 3.383821 1.775433 0.527054
0.341388 0.877390 0.357119 0.809962 0.373085
0.295599 0.806346 1.877741 1.091685 2.536043
0.313017 0.863757 2.248767 1.236231 2.987843
0.348497 0.792713 0.595086 0.907401 0.310620
0.329742 0.842682 1.004913 1.655644 0.879365
0.284271 0.812167 0.333841 0.557903 1.058264
0.290103 0.886134 1.212826 0.927784 0.634013
0.324383 0.794859 0.281832 1.376884 1.492354
0.353138 0.851532 2.692074 0.522424 2.108231
0.308848 0.827734 0.509227 1.423732 0.447585
0.300958 0.838164 0.426434 1.896152 0.264568
0.335555 0.814365 1.602743 0.703292 3.517469
0.321810 0.872713 0.956912 1.067619 1.242483
0.277204 0.781437 2.864889 0.727286 0.746967
0.276220 0.870675 0.260670 1.558351 2.742169
0.320763 0.786019 1.312503 0.571847 0.403581
0.337009 0.836087 0.554070 1.268147 0.569845
0.302475 0.818960 2.476480 0.854549 1.936832
0.304890 0.849455 1.465194 0.796084 1.163217
0.349126 0.832329 0.466115 1.168560 0.967311
0.327871 0.884097 3.148475 0.647781 0.341396
0.293645 0.799441 0.870064 1.746416 3.286948
0.288225 0.844851 3.679023 1.004796 0.484207
0.333759 0.807454 0.726728 0.745526 2.279363
0.345014 0.865913 1.735430 1.944612 1.614311
0.309470 0.788039 0.386177 0.662496 0.685540
0.296587 0.879546 0.654376 0.513517 0.821730
0.342429 0.801672 2.045875 1.523860 1.365581
0.316184 0.858431 0.305370 0.993915 3.869237
0.280332 0.821033 1.099067 1.354037 0.290802
0.280290 0.879315 0.297231 1.022713 0.422478
0.316069 0.801837 1.258490 0.758722 2.030871
0.342314 0.858239 0.529850 1.979451 1.433523
0.296545 0.821291 2.816333 0.674167 0.596905
0.309590 0.844606 1.670777 0.500450 0.712136
0.345051 0.807658 0.446944 1.485271 1.211773
0.333797 0.865735 3.010729 0.968541 3.421980
0.288345 0.788257 0.989406 1.319864 0.251496
0.293608 0.849291 3.527908 1.586002 2.387628
0.327751 0.832559 0.828722 0.582019 0.358384
0.349006 0.883840 1.973747 1.290542 0.507721
0.304853 0.799632 0.369324 0.869821 1.689915
0.302590 0.870471 0.627521 0.775892 1.005992
0.337051 0.786262 2.333138 1.138875 0.855497
0.320806 0.835869 0.347288 0.631405 0.302944
0.276335 0.819137 1.051075 1.701902 2.848570
0.277168 0.837906 0.758048 0.952108 0.652505
0.321693 0.814556 3.858465 1.412568 1.568512
0.335438 0.872547 0.406122 0.536077 2.220228
0.300923 0.781668 1.795675 1.460749 0.462220
0.308961 0.885917 2.156304 1.862815 0.273392
0.353178 0.795037 0.678578 0.691134 3.722089
0.324422 0.851328 1.142766 1.048939 1.317379
0.290216 0.827978 0.319233 0.714650 0.774529
0.284232 0.863566 1.383055 0.620534 1.848878
0.329630 0.792969 0.270253 1.821902 0.555053
0.348385 0.842451 2.574616 0.831057 0.392125
0.312977 0.812331 0.579150 1.120167 2.610009
0.295717 0.856084 0.486306 1.214807 3.098089
0.341422 0.825964 1.536983 0.891485 0.329344
0.317677 0.877147 0.915118 1.626811 0.930520
0.281962 0.806550 3.258189 0.548165 1.093558
0.283146 0.860917 1.893530 0.723166 0.268602
0.318993 0.823622 0.354315 1.072997 3.657436
0.340248 0.880328 3.375302 0.699843 1.290775
0.294391 0.802564 0.792876 1.906830 0.759030
0.311666 0.866696 0.332827 1.415487 0.637706
0.347196 0.788931 1.007311 0.525123 1.532709
0.330950 0.847337 0.599777 1.369725 2.164052
0.285411 0.810043 2.229993 0.933284 0.450440
0.291454 0.881505 0.507840 0.560737 3.036113
0.325685 0.796957 2.699349 1.646196 0.322691
0.351930 0.848568 0.284108 0.912549 0.914351
0.307709 0.831542 1.202928 1.230115 1.074404
0.299656 0.835199 2.888555 1.097278 1.801746
