#     Om       s8      SN1      SN2      AGN      WDM
0.266662 0.624582 3.507312 1.325464 2.879219 0.237738
0.449121 0.962168 0.355720 1.132679 0.270416 0.542730
0.408885 0.736036 3.123150 0.712207 2.319747 0.492028
0.275644 0.899036 0.679025 1.643593 1.177619 0.302582
0.148065 0.696753 2.999880 1.231876 1.664700 0.169327
0.367217 0.933778 1.697653 1.413766 3.334157 0.349144
0.310379 0.632217 1.018363 1.510802 3.811512 0.504176
0.180290 0.995193 3.723407 0.942972 1.205456 0.199184
0.246544 0.797476 1.362269 1.931833 0.703713 0.087865
0.462598 0.834474 2.396253 0.612950 2.782411 0.398635
0.455922 0.781619 0.493564 1.255122 1.941334 0.207872
0.234451 0.844230 3.205932 1.108022 3.083447 0.510939
0.188520 0.648051 1.879340 1.765639 2.574462 0.376511
0.320906 0.985465 2.920648 0.869776 0.904991 0.063815
0.351181 0.687030 3.545410 0.549305 0.442070 0.280473
0.132857 0.949614 1.093961 1.902978 3.048112 0.467993
0.293238 0.745794 2.585348 0.972903 3.542491 0.357848
0.422522 0.883185 1.275797 1.576256 1.463779 0.176105
0.432289 0.609213 2.199357 1.955392 3.515910 0.117699
0.252224 0.971236 1.604597 0.684391 1.845523 0.430395
0.124653 0.773592 3.919959 1.441810 0.999542 0.534042
0.390633 0.811593 0.775691 0.919848 2.142571 0.230975
0.336923 0.710028 1.967791 1.161169 2.602531 0.137566
0.153756 0.872028 2.772200 1.389476 0.521072 0.319309
0.219996 0.669673 0.409231 0.734598 1.381688 0.460238
0.489124 0.907648 3.351174 1.713316 3.990476 0.272718
0.491557 0.620210 0.281873 0.669016 2.381640 0.178162
0.224015 0.957209 3.462083 1.975173 0.771692 0.370023
0.153064 0.759491 2.091545 0.898602 2.071772 0.471713
0.331566 0.822468 2.665012 1.455721 3.271577 0.293333
0.389963 0.724032 3.801955 1.369694 3.764682 0.074749
0.119273 0.861056 0.880847 1.176544 1.626475 0.382157
0.254680 0.658773 2.328289 1.699406 0.282465 0.521189
0.436285 0.921773 1.488396 0.755843 2.830843 0.211855
0.421830 0.795647 2.471008 1.088241 1.128950 0.270201
0.287882 0.833233 1.406589 1.270497 2.331502 0.448581
0.135290 0.637176 3.648709 0.855865 3.323889 0.316048
0.355199 0.999565 0.974100 1.786885 1.711195 0.124187
0.323362 0.698002 1.770291 1.887603 1.222883 0.219522
0.192516 0.935611 3.042541 0.569086 3.772176 0.528855
0.233782 0.731668 0.606330 1.555010 2.823692 0.420664
0.450543 0.894084 3.080432 0.986814 0.684569 0.113257
0.468148 0.747036 1.233136 1.628206 3.095317 0.554875
0.247433 0.885012 2.512710 0.731976 1.892779 0.239765
0.176465 0.682656 1.136679 1.392531 0.951601 0.108465
0.308143 0.944656 3.618106 1.245798 2.564309 0.410095
0.363418 0.646216 2.876327 0.923202 3.008891 0.443805
0.145803 0.984217 1.804584 1.526189 0.459612 0.259647
0.281221 0.786574 3.250195 0.599029 1.444750 0.150223
0.409748 0.848597 0.568262 1.953068 3.583887 0.336306
0.445296 0.674631 3.394744 1.579243 1.886525 0.386949
0.264426 0.912022 0.480960 1.057647 3.496487 0.085318
0.111816 0.708202 2.728573 1.817982 2.159819 0.185835
0.378651 0.870786 1.896005 0.546615 0.960028 0.500946
0.349942 0.769226 0.820921 0.784298 0.511084 0.343987
0.165920 0.806639 3.993806 1.763384 2.649305 0.157904
0.207197 0.610460 1.559425 1.111445 3.941985 0.298109
0.477131 0.973071 2.125568 1.339385 1.393622 0.482267
0.484438 0.754275 3.738741 1.911546 2.896465 0.509177
0.205935 0.816884 1.059332 0.640539 0.348101 0.194074
0.170942 0.612893 2.384121 1.485662 1.560265 0.092354
0.338484 0.950308 1.317178 0.963694 3.698486 0.393976
0.382822 0.651868 0.696650 1.205014 3.220016 0.489311
0.101217 0.914454 3.166410 1.433327 2.020225 0.305160
0.272535 0.718446 1.684150 0.690746 0.822667 0.166157
0.443225 0.855835 2.953418 1.669471 2.432629 0.352233
0.402211 0.630307 2.060556 1.298973 0.618932 0.401732
0.282302 0.992332 2.637005 1.151868 2.758068 0.100110
0.140668 0.790001 0.308798 1.721793 3.838371 0.232612
0.374617 0.828000 3.493349 0.825924 1.289092 0.547715
0.303720 0.726440 2.297931 0.505454 1.762742 0.329132
0.186959 0.888439 1.460563 1.859132 3.375451 0.143056
0.239137 0.690771 3.829053 1.016749 2.280514 0.251276
0.469983 0.928747 0.912744 1.620107 1.077976 0.435426
0.461033 0.675447 2.815002 0.761912 3.634864 0.132442
0.229356 0.937861 1.984958 1.693304 1.495742 0.324295
0.194354 0.741730 3.304254 1.182166 0.408047 0.455624
0.315068 0.879341 0.395269 1.364061 2.957340 0.277251
0.356278 0.780904 1.646024 1.461096 2.498096 0.120293
0.127751 0.843295 2.215149 0.893261 0.885402 0.427693
0.299083 0.639425 0.731059 1.981545 1.958405 0.537086
0.416699 0.977010 3.908285 0.662656 3.160958 0.227760
0.425682 0.702447 1.109297 0.992550 1.342629 0.284962
0.258848 0.865448 3.586381 1.549308 3.891006 0.463335
0.117205 0.667852 1.263667 0.575086 2.700855 0.362848
0.398076 0.904875 2.540259 1.881615 0.562648 0.170995
0.330301 0.603312 3.223555 1.793325 1.026227 0.204704
0.160368 0.966288 0.536822 0.849391 2.226033 0.514030
0.212560 0.763883 2.907143 1.275758 3.430847 0.373793
0.496582 0.800883 1.832875 1.082968 1.820900 0.066393
0.495087 0.694823 3.260202 1.355460 3.294036 0.436443
0.214240 0.932604 0.544179 1.196642 2.093315 0.250369
0.162050 0.734887 2.870541 1.678484 0.749348 0.144104
0.328812 0.897082 1.825592 0.770902 2.360211 0.328253
0.399708 0.798643 1.145899 0.648189 2.852213 0.541044
0.115760 0.836447 3.593665 1.990143 0.304752 0.239424
0.257406 0.634165 1.227020 0.884273 1.604759 0.093410
0.427315 0.996385 2.532902 1.475907 3.742051 0.408511
0.418329 0.721034 1.550792 1.866775 1.689881 0.351309
0.297639 0.857837 2.149193 0.584056 3.301660 0.167161
0.126308 0.661780 0.826249 1.540681 2.353161 0.304268
0.357913 0.924953 3.974172 1.007000 1.151524 0.490342
0.313575 0.623390 2.719811 1.074006 0.662052 0.400801
0.196033 0.960220 1.919071 1.290594 2.802090 0.085700
0.231039 0.756277 3.399486 0.834943 3.794578 0.200870
0.459542 0.819472 0.461226 1.801943 1.244369 0.502490
0.471673 0.772428 2.305337 0.955106 2.541965 0.065501
0.237652 0.809623 1.497273 1.500140 0.930172 0.374825
0.185472 0.607267 3.821803 0.625719 1.915238 0.513105
0.305405 0.970047 0.876219 1.920523 3.116860 0.205707
0.373180 0.671612 2.067806 1.654985 3.562171 0.177791
0.142309 0.908831 2.673531 0.699337 1.422119 0.356162
0.283939 0.711186 0.301393 1.424346 0.480983 0.470158
0.400774 0.873992 3.456640 1.219843 3.031178 0.278307
0.441790 0.649240 0.630656 0.811077 0.981686 0.228809
0.274175 0.987411 3.071097 1.730744 2.182393 0.536207
0.102854 0.783589 1.749985 1.143260 3.475173 0.428709
0.381382 0.845394 3.048543 1.313431 1.864296 0.119385
0.340172 0.743830 3.672906 1.611147 1.416023 0.270552
0.169457 0.882027 0.964208 1.031598 3.963471 0.462403
0.204447 0.685847 2.450115 1.844672 2.626788 0.317623
0.486125 0.947675 1.412490 0.514070 0.489483 0.139252
0.475451 0.729667 0.740278 1.236830 3.690619 0.112211
0.208690 0.891496 3.883845 1.407372 1.553313 0.421542
0.167412 0.687504 1.639909 0.717525 0.355855 0.527836
0.348258 0.925699 2.235341 1.636832 2.903303 0.220431
0.380095 0.627264 3.314260 1.938236 2.425963 0.130890
0.110186 0.989068 0.371187 0.607994 0.815085 0.309268
0.262790 0.793059 2.809215 1.517566 2.027234 0.455250
0.446739 0.831231 2.005965 0.937646 3.227941 0.263392
0.411193 0.654916 2.898381 0.532143 1.295816 0.212750
0.279588 0.917721 1.855943 1.826587 3.846010 0.520156
0.144170 0.715389 3.228297 1.048653 2.751002 0.383079
0.364860 0.852609 0.517088 1.594058 0.610949 0.073747
0.306462 0.751044 1.255034 1.330789 1.085786 0.286539
0.177960 0.813826 2.563884 1.125914 2.287408 0.478398
0.248923 0.616157 1.114626 1.748571 3.367754 0.363197
0.466465 0.953351 3.566747 0.793284 1.755961 0.184818
0.452027 0.600060 1.660411 1.446768 2.965094 0.483190
0.232094 0.963256 2.961937 0.913447 0.414886 0.297108
0.190828 0.767126 0.716169 1.960717 1.487875 0.158798
0.324850 0.803954 3.160967 0.677626 3.627913 0.342953
0.353559 0.705516 2.361169 0.740990 3.167967 0.494120
0.136725 0.868686 1.326054 1.708362 1.966330 0.192492
0.289322 0.664817 3.758590 1.167932 0.878736 0.078524
0.420193 0.901622 1.054704 1.384159 2.490514 0.393633
0.434644 0.777833 3.853250 1.772403 0.555582 0.335288
0.256117 0.840052 0.902853 0.864449 2.692873 0.151133
0.120711 0.642457 2.277038 1.261524 3.897730 0.258600
0.388327 0.980263 1.466464 1.103066 1.350268 0.444682
0.333051 0.678701 0.333124 0.978221 1.813203 0.416766
0.151373 0.940896 3.484015 1.569495 3.424066 0.101657
0.222330 0.738492 2.040250 0.554258 2.233843 0.246466
0.493044 0.876272 2.643006 1.896584 1.033122 0.548094
0.487689 0.788833 1.931203 0.860793 1.592770 0.395660
0.221636 0.826028 2.764901 1.780466 3.673313 0.090670
0.155393 0.628359 0.445892 1.093539 2.922554 0.196242
0.335483 0.991140 3.358517 1.263715 0.314681 0.507010
0.392320 0.692701 2.162696 1.561432 0.802979 0.353917
0.123169 0.929921 1.597254 0.981878 2.474281 0.164473
0.250736 0.727589 3.956547 1.894393 3.181110 0.307328
0.433976 0.890393 0.782990 0.563785 2.037165 0.487143
0.424213 0.614084 3.640587 0.905385 3.856220 0.545548
0.291753 0.952257 1.159862 1.450424 1.249264 0.234780
0.131370 0.756248 2.490102 0.675434 0.659676 0.098426
0.352866 0.818051 1.209855 1.970244 2.739304 0.403417
0.319469 0.716492 0.588810 1.704705 2.246185 0.433258
0.190161 0.854686 3.271874 0.749052 1.104987 0.253443
0.236087 0.650694 1.784163 1.374632 1.738477 0.141372
0.454484 0.912524 2.854747 1.170123 3.407032 0.330816
0.464228 0.665913 1.011128 1.822920 0.368219 0.275567
0.245100 0.903693 3.686867 0.540194 2.975190 0.457308
0.178847 0.701289 1.369688 1.584542 3.616100 0.322128
0.312015 0.863484 2.432948 1.050856 1.536487 0.134609
0.365724 0.765047 3.115731 1.117863 1.985417 0.226076
0.149744 0.802853 0.642329 1.334457 3.126629 0.538770
0.277328 0.605258 3.007116 0.791081 2.529678 0.425526
0.407393 0.967477 1.734193 1.758087 0.861137 0.122461
0.447626 0.743694 2.685661 1.399321 2.675682 0.173162
0.268342 0.880499 2.112894 1.240497 0.595153 0.360680
0.107949 0.676630 3.441304 1.634628 1.309209 0.465019
0.376272 0.939800 0.260422 0.727041 3.917096 0.283278
0.345997 0.638236 1.510778 0.604326 3.472500 0.068560
0.163612 0.975064 2.351800 1.946287 1.801212 0.371626
0.209554 0.778934 0.858596 0.928130 1.043168 0.515714
0.481026 0.842131 3.778546 1.519769 2.187126 0.203020
0.482105 0.635212 2.575556 1.728553 2.103361 0.291648
0.202016 0.998407 1.299665 0.820604 3.247320 0.473397
0.174812 0.794465 3.550954 1.305368 2.408645 0.367855
0.340865 0.831294 1.073197 1.146916 0.737357 0.180330
0.386762 0.732857 1.869905 1.022071 0.263693 0.210171
0.103522 0.896029 2.945303 1.613338 2.871579 0.522873
0.270181 0.699972 0.499923 0.510414 3.724860 0.379989
0.439333 0.936776 3.185497 1.852735 1.644331 0.076917
0.406129 0.761431 0.417649 1.490612 3.340823 0.126355
0.284633 0.823650 3.327764 0.957298 1.672282 0.313881
0.138289 0.621368 1.962706 1.916867 1.170610 0.450265
0.370748 0.959173 2.791590 0.633781 2.311822 0.268517
0.301411 0.657609 3.928935 0.697146 2.790278 0.115424
0.183014 0.919803 0.752410 1.664512 0.710665 0.418497
0.243032 0.722086 2.194372 1.211781 1.197702 0.530539
0.472341 0.859868 1.624574 1.428003 3.804673 0.217838
0.458654 0.707010 3.530479 0.581853 0.912687 0.411780
0.225487 0.868838 0.346629 1.876291 2.581243 0.106781
0.198271 0.672658 2.599749 0.998949 3.075637 0.241932
0.317399 0.910855 2.022626 1.544349 1.934439 0.552708
0.360174 0.612415 0.947941 1.281079 1.470846 0.337990
0.130109 0.974220 3.865380 1.076209 3.550473 0.148539
0.296774 0.770399 1.425493 1.798276 3.041388 0.261815
0.412754 0.808569 2.261702 0.842994 0.434431 0.441637
0.429553 0.683823 1.337728 1.187126 2.135562 0.498778
0.261229 0.946629 2.405802 1.357663 0.991617 0.188002
0.114872 0.748985 1.038913 0.767234 1.852190 0.083634
0.394156 0.886203 3.717162 1.686535 3.523492 0.388633
0.327947 0.784643 2.975897 1.987940 3.982722 0.480099
0.156476 0.847424 1.707331 0.657704 1.374849 0.300277
0.216501 0.645067 3.143800 1.467856 0.528940 0.156220
0.498887 0.982263 0.673367 0.887941 2.609483 0.345672
0.499822 0.643898 1.292585 1.849413 3.750762 0.188695
0.215849 0.981900 2.568476 0.507871 1.610724 0.498021
0.157127 0.785770 1.080737 1.616660 0.296039 0.389802
0.327012 0.847793 3.558494 1.024614 2.846248 0.082402
0.395177 0.749354 2.937735 1.150235 2.368008 0.300970
0.114355 0.887329 1.862337 1.307908 0.756229 0.479342
0.261747 0.683460 3.192605 0.817286 2.085520 0.346840
0.428532 0.945460 0.507031 1.726013 3.287156 0.154987
0.413299 0.771494 3.335304 1.431275 1.238403 0.105488
0.295732 0.808908 0.425189 1.214367 3.785865 0.412888
0.131151 0.611314 2.784510 1.661240 2.808055 0.551891
0.359629 0.973924 1.955625 0.694560 0.670763 0.242565
0.318029 0.672362 0.759518 0.630506 1.144643 0.147246
0.197363 0.909753 3.936044 1.914278 2.345365 0.339099
0.226395 0.707348 1.617006 0.960573 3.308540 0.440820
0.458024 0.869933 2.186804 1.493201 1.697677 0.262447
0.473285 0.723322 0.339547 0.840410 3.022494 0.313124
0.242390 0.860347 3.523397 1.795005 0.475047 0.127048
0.183657 0.656355 2.030165 1.078794 1.430802 0.267284
0.300466 0.919354 2.607287 1.284350 3.568107 0.451434
0.371754 0.620920 3.857814 1.546936 3.109093 0.417740
0.137756 0.957918 0.940375 1.002223 1.908386 0.116117
0.285165 0.761910 2.268812 1.873704 0.937940 0.216605
0.405123 0.824887 1.432603 0.578579 2.548817 0.531708
0.439887 0.698761 2.413340 0.890483 0.495419 0.474506
0.269148 0.936370 1.345266 1.471176 2.635471 0.290356
0.104555 0.734038 3.710080 0.655163 3.957534 0.180962
0.386209 0.896453 1.031830 1.984620 1.407339 0.367038
0.341480 0.794889 1.714441 1.683997 1.871148 0.523981
0.173889 0.832475 2.983007 0.763917 3.482941 0.208878
0.202939 0.634806 0.665801 1.360201 2.175541 0.077550
0.481490 0.997196 3.136234 1.190443 0.973919 0.379172
0.480371 0.778583 2.757361 0.561244 3.235708 0.359995
0.210487 0.840974 1.923663 1.891073 2.034086 0.173912
0.162679 0.638618 3.365598 0.984419 0.807317 0.282102
0.346652 0.976203 0.452972 1.564752 2.419110 0.466259
0.375752 0.677768 1.590146 1.266254 2.911987 0.370940
0.108966 0.940182 2.155588 1.096855 0.361792 0.069310
0.267324 0.742537 0.790557 1.777927 1.544630 0.201844
0.448146 0.880148 3.964115 0.857476 3.684683 0.516954
0.406348 0.605585 1.166942 1.172707 1.749108 0.458609
0.277869 0.968560 3.647668 1.377902 3.359986 0.274451
0.149203 0.764739 1.202315 0.746468 2.294260 0.135419
0.366769 0.801739 2.482562 1.701435 1.093553 0.321502
0.311104 0.700174 3.279442 1.967657 0.605014 0.540070
0.179474 0.863176 0.596378 0.672161 2.742319 0.224960
0.244473 0.666996 2.847639 1.453011 3.851947 0.123270
0.465138 0.904019 1.777055 0.908659 1.304500 0.424900
0.453845 0.651161 3.679329 1.754815 2.482717 0.235529
0.237035 0.913748 1.003589 0.788496 0.871854 0.544862
0.189213 0.716031 2.440031 1.337729 1.974126 0.404657
0.320108 0.853420 1.376771 1.120448 3.174847 0.097249
0.352336 0.754981 0.635220 1.054131 3.619201 0.254192
0.132378 0.817591 3.108621 1.587131 1.481910 0.432573
0.290745 0.615308 1.741759 0.536919 0.423598 0.332057
0.424742 0.952723 3.014682 1.820331 2.971060 0.140196
0.432947 0.727195 2.119977 1.523090 1.040002 0.089553
0.251293 0.889194 2.692743 0.930672 2.241639 0.396961
0.122612 0.693137 0.252884 1.942966 3.417185 0.506385
0.393350 0.931114 3.433765 0.601784 1.805406 0.197051
0.334563 0.629552 2.359366 0.723723 1.356234 0.163357
0.156011 0.991577 1.518344 1.632089 3.906443 0.355218
0.221018 0.787634 3.771435 1.243815 2.686908 0.486518
0.488609 0.825634 0.851486 1.401861 0.546870 0.308137
0.492426 0.738171 3.891413 0.934329 2.045848 0.152371
0.223250 0.875194 0.747846 1.515028 3.187046 0.334114
0.150453 0.679015 2.228232 0.611311 2.465598 0.445433
0.333669 0.942016 1.632800 1.940774 0.797042 0.257913
0.387770 0.643576 0.378268 1.640151 0.322450 0.102895
0.121741 0.980577 3.321341 0.720066 2.929407 0.415591
0.255087 0.776756 1.998425 1.404053 3.665546 0.548846
0.435201 0.839731 2.801675 1.234288 1.585919 0.245779
0.419184 0.665162 1.848834 0.796558 3.401095 0.296481
0.289851 0.902772 2.891273 1.751158 1.729793 0.484001
0.136195 0.705128 0.524656 1.122640 1.110923 0.341839
0.354568 0.867542 3.235865 1.328202 2.254867 0.160096
0.323902 0.765982 2.556344 1.590787 2.732452 0.191865
0.191467 0.803567 1.247494 1.046069 0.651909 0.494932
0.231454 0.601210 3.573828 1.829859 1.256116 0.392519
0.452974 0.963601 1.121706 0.534728 3.863988 0.079823
0.465838 0.616557 2.969503 1.381570 0.852424 0.518981
0.249834 0.954556 1.667977 1.164656 2.523713 0.213988
0.177049 0.750614 3.153856 1.710950 3.135340 0.073060
0.307090 0.812639 0.709059 0.744265 1.991382 0.383830
0.364318 0.714201 1.333137 0.680211 1.528691 0.477224
0.145215 0.852179 2.368251 1.963990 3.609220 0.287778
0.278543 0.656122 1.047166 0.910862 2.982987 0.184131
0.411735 0.918120 3.751051 1.443495 0.375100 0.363948
0.445721 0.792586 0.895743 1.899124 2.193091 0.422354
0.263310 0.830001 3.846140 0.557576 1.051879 0.111584
0.109666 0.627719 1.474030 1.566955 1.795246 0.221729
0.381113 0.990328 2.284604 0.974903 3.463787 0.526722
0.347326 0.688764 3.476477 1.100523 3.923977 0.310079
0.168066 0.926154 0.325586 1.258203 1.317006 0.130262
0.208035 0.728437 2.650088 0.866992 0.588273 0.264690
0.476383 0.891023 2.047332 1.775724 2.667886 0.454136
0.487048 0.684757 0.551287 1.473367 1.652127 0.534976
0.203832 0.947342 3.267310 0.880956 3.731740 0.229976
0.170072 0.744938 1.818024 1.992683 2.863782 0.118626
0.339249 0.882328 2.862973 0.651507 0.256811 0.429404
0.382415 0.783892 3.601205 0.773445 0.746069 0.461172
0.102301 0.846502 1.153439 1.681805 2.414610 0.271719
0.274729 0.648907 2.525822 1.194099 3.238608 0.138493
0.440757 0.986321 1.219940 1.352139 2.097396 0.318318
0.401306 0.712349 2.141625 1.804532 3.797792 0.375460
0.282934 0.874350 1.543224 0.838218 1.189905 0.064682
0.143315 0.670480 3.981280 1.288006 0.717545 0.206814
0.372647 0.908455 0.833357 1.070731 2.798074 0.511814
0.306047 0.606892 1.911991 1.004415 2.305858 0.356796
0.184527 0.968915 2.712730 1.537409 1.161899 0.176972
0.238596 0.772785 0.468766 0.586641 1.678248 0.279414
0.471031 0.810786 3.407026 1.870047 3.349536 0.468867
0.460450 0.757495 1.504383 1.216570 0.426663 0.168328
0.230409 0.819884 2.312446 1.421760 3.034535 0.350079
0.196663 0.622216 0.868653 0.702611 3.558240 0.491036
0.312668 0.959802 3.814237 1.657572 1.477697 0.303509
0.358955 0.661362 2.681069 1.923794 1.925756 0.086866
0.125764 0.923778 2.075344 0.628303 3.069701 0.399570
0.298184 0.721446 3.449557 1.496869 2.589927 0.503185
0.417287 0.859055 0.294310 0.952522 0.918624 0.200111
0.427832 0.632923 3.063531 0.517387 2.616335 0.249550
0.256385 0.995900 0.623090 1.847210 0.536707 0.437077
0.116781 0.799891 3.055653 1.028282 1.367997 0.326962
0.399191 0.836890 1.757095 1.608609 3.974954 0.145211
0.329463 0.735330 0.957125 1.310111 3.529430 0.238605
0.161115 0.898330 3.665824 1.140719 1.860874 0.541679
0.215176 0.694338 1.420029 1.734064 0.985682 0.407220
0.494435 0.931362 2.457653 0.813618 2.126879 0.094516
0.495927 0.762775 1.066900 1.666197 0.789462 0.464092
0.213492 0.800581 3.746309 0.688159 2.458933 0.284269
0.159436 0.604402 1.310069 1.436601 3.194972 0.172227
0.330956 0.966620 2.377013 1.207601 2.052859 0.361679
0.397556 0.668185 3.173491 0.966965 1.578965 0.514787
0.118223 0.905965 0.703730 1.488247 3.657677 0.204011
0.257830 0.702144 2.945878 0.637268 2.936243 0.067626
0.426202 0.864340 1.676610 1.908962 0.330202 0.372624
0.415654 0.640557 2.629897 1.623424 2.261764 0.323186
0.299625 0.977385 2.053447 1.019287 1.118735 0.133735
0.127209 0.779742 3.500917 1.855816 1.723014 0.276618
0.357323 0.842938 0.316366 0.502915 3.393400 0.456441
0.314157 0.741373 1.453023 0.822604 3.871626 0.426584
0.194981 0.878178 2.290390 1.719251 1.262838 0.121586
0.228728 0.675822 0.919825 1.155188 0.643926 0.227127
0.461944 0.938993 3.836134 1.301515 2.725384 0.537903
0.469344 0.691945 1.992524 0.660116 1.999308 0.099417
0.240084 0.929166 2.822568 1.978227 3.142351 0.402489
0.186011 0.725222 0.388159 0.895801 2.516132 0.546547
0.304359 0.888027 3.297144 1.464415 0.845760 0.233845
0.374087 0.789589 2.222232 1.366604 0.381936 0.142363
0.141677 0.826783 1.653106 1.185487 2.990738 0.329889
0.281294 0.630725 3.900747 1.690761 3.602266 0.434257
0.402741 0.993507 0.723520 0.758591 1.520822 0.252508
0.442195 0.717198 3.579271 1.085556 3.457008 0.195367
0.273092 0.855393 1.102187 1.279033 1.787551 0.508069
0.100660 0.653110 2.547825 0.846802 1.058775 0.394793
0.383851 0.914939 1.271234 1.790050 2.200903 0.091721
0.337564 0.613378 0.529284 1.879029 2.659903 0.306453
0.171560 0.951550 3.216016 0.571813 0.581205 0.488202
0.205317 0.753832 1.839958 1.551894 1.324643 0.353050
0.485358 0.815636 2.914226 0.995822 3.930699 0.165525
0.478066 0.610146 3.469191 0.753255 0.279100 0.084569
0.206546 0.971951 0.288982 1.696131 2.885156 0.387634
0.166571 0.769546 2.657444 1.179132 3.709111 0.499705
0.349006 0.807717 2.083977 1.372969 1.630413 0.187011
0.379672 0.709279 0.888387 1.458306 2.118938 0.157155
0.111299 0.871107 3.809495 0.901874 3.261066 0.344673
0.264943 0.673511 1.481316 1.972588 2.393180 0.481027
0.444275 0.911707 2.321208 0.665744 0.723723 0.299286
0.410293 0.786961 1.399021 0.989353 2.776474 0.240881
0.280178 0.849741 2.463440 1.558328 0.695030 0.553575
0.146845 0.645871 0.981208 0.566546 1.211393 0.410721
0.362873 0.983067 3.655817 1.884285 3.820195 0.107656
0.308773 0.681505 3.035461 1.784342 3.327304 0.260763
0.175557 0.944311 1.763211 0.852544 1.656931 0.442504
0.248341 0.748181 3.087972 1.273039 1.184471 0.336932
0.467518 0.885399 0.613870 1.091562 2.327514 0.149413
0.451487 0.732099 2.519820 1.949751 1.455068 0.449267
0.233139 0.895271 1.240246 0.596490 3.536527 0.269452
0.193158 0.697603 3.610539 1.529505 3.056824 0.125364
0.322417 0.934406 1.129113 0.925741 0.448036 0.314808
0.356205 0.635970 1.812123 1.249117 0.897194 0.529540
0.134758 0.999166 2.883866 1.395073 2.567581 0.218772
0.288414 0.796835 0.561179 0.728657 3.091243 0.114433
0.420825 0.833664 3.243113 1.625665 1.948214 0.419424
0.436839 0.658319 0.473394 1.342659 3.996441 0.368722
0.253647 0.920512 3.387178 1.114032 1.390400 0.179278
0.120306 0.724505 1.903115 1.760110 0.515107 0.292523
0.389409 0.862286 2.735683 0.781712 2.593819 0.472338
0.332181 0.760721 3.986723 0.543344 2.149451 0.380856
0.152140 0.822941 0.813838 1.815398 1.007338 0.075866
0.224938 0.618950 2.133106 1.060918 1.838642 0.211046
0.490942 0.956754 1.566963 1.581827 3.508113 0.521814
0.490047 0.669292 2.249422 1.129407 2.838610 0.431570
0.219381 0.906510 1.437689 1.322878 0.289317 0.116461
0.154371 0.710379 3.881224 0.802958 1.618708 0.231662
0.336000 0.873185 0.931957 1.746200 3.757830 0.533290
0.391666 0.774749 2.010188 1.835179 3.280260 0.320483
0.124099 0.811944 2.612272 0.527969 2.077707 0.136328
0.252778 0.608074 0.362828 1.595738 0.763008 0.273405
0.431256 0.970854 3.514420 1.039672 2.375703 0.459486
0.423055 0.746102 0.686565 0.616272 0.677718 0.510128
0.292233 0.884298 3.130690 1.934376 2.815924 0.208500
0.133863 0.686703 1.690572 0.939651 3.779029 0.062517
0.350648 0.948531 2.992799 1.508259 1.230651 0.377625
0.321548 0.646968 3.730515 1.410448 1.705258 0.467181
0.187575 0.985139 1.025471 1.229336 3.315206 0.281100
0.235395 0.782733 2.388685 1.646911 2.337438 0.174806
0.455280 0.844538 1.354701 0.714747 1.137633 0.358962
0.463506 0.797937 3.198850 1.573714 3.576091 0.301343
